#	lambda         S/N    tar_flux   tot_noise    sc_noise   sys_noise   readnoise  dark_noise   sky_noise     mockgal
#	nm   1e-13erg/s/cm2/nm    #e          #e          #e          #e          #e          #e      1e-13erg/s/cm2/nm
     383.356   2.858E-02   7.279E-04    11.27605     0.56764    11.26175     9.79796     5.53173     0.47643     0.01387
     383.531   2.862E-02   7.290E-04    11.27606     0.56810    11.26174     9.79796     5.53173     0.47630     0.00143
     383.707   2.842E-02   7.239E-04    11.27596     0.56613    11.26174     9.79796     5.53173     0.47614    -0.05439
     383.882   2.802E-02   7.136E-04    11.27575     0.56213    11.26173     9.79796     5.53173     0.47598     0.00449
     384.058   2.770E-02   7.054E-04    11.27558     0.55889    11.26172     9.79796     5.53173     0.47585     0.01133
     384.233   2.769E-02   7.050E-04    11.27557     0.55879    11.26172     9.79796     5.53173     0.47571     0.01539
     384.409   2.781E-02   7.080E-04    11.27563     0.56001    11.26171     9.79796     5.53173     0.47557     0.04300
     384.584   2.764E-02   7.036E-04    11.27554     0.55829    11.26171     9.79796     5.53173     0.47541     0.00014
     384.760   2.717E-02   6.916E-04    11.27529     0.55351    11.26170     9.79796     5.53173     0.47526     0.00414
     384.936   2.688E-02   6.840E-04    11.27514     0.55052    11.26169     9.79796     5.53173     0.47513     0.01271
     385.111   2.712E-02   6.902E-04    11.27526     0.55302    11.26169     9.79796     5.53173     0.47499     0.02472
     385.287   2.785E-02   7.087E-04    11.27562     0.56042    11.26168     9.79796     5.53173     0.47485    -0.04411
     385.462   2.867E-02   7.295E-04    11.27602     0.56861    11.26168     9.79796     5.53173     0.47472     0.00818
     385.638   2.915E-02   7.415E-04    11.27625     0.57329    11.26167     9.79796     5.53173     0.47455    -0.01859
     385.813   2.918E-02   7.423E-04    11.27626     0.57360    11.26166     9.79796     5.53173     0.47441    -0.01032
     385.989   2.888E-02   7.346E-04    11.27611     0.57066    11.26166     9.79796     5.53173     0.47427    -0.03296
     386.164   2.826E-02   7.188E-04    11.27579     0.56450    11.26165     9.79796     5.53173     0.47413    -0.00106
     386.340   2.754E-02   7.004E-04    11.27543     0.55726    11.26165     9.79796     5.53173     0.47398     0.01563
     386.516   2.736E-02   6.956E-04    11.27533     0.55539    11.26164     9.79796     5.53173     0.47382     0.01624
     386.691   2.798E-02   7.113E-04    11.27563     0.56164    11.26163     9.79796     5.53173     0.47368    -0.00787
     386.867   2.883E-02   7.330E-04    11.27605     0.57017    11.26163     9.79796     5.53173     0.47355     0.02276
